"","locationID","Latitude","Longitude"
"479","AK03",70.6133,159.8603
"480","IWK",65.6225,168.095
"481","0AK1",61.6169,149.3217
"482","56AK",61.575,149.6064
"483","AK85",61.4822,149.7639
"484","71AK",61.5278,149.4964
"485","3AK8",61.6625,149.3919
"486","6AK9",61.6333,149.6825
"487","58AK",61.5525,149.3397
"488","AK58",61.54,149.5489
"489","36AK",61.3433,150.0667
"490","AK83",61.6272,149.6094
"491","16AK",61.5992,149.3469
"492","AK65",61.5981,149.3506
"493","7AK8",61.6211,149.615
"494","10AK",61.5919,149.6778
"495","79AK",61.4819,149.7439
"496","7AK4",61.6725,149.5039
"497","AK79",61.5936,149.5664
"498","06AK",61.6275,149.5753
"499","43AK",61.6008,149.5792
"500","55AK",61.4958,149.6994
"501","9AK6",61.6242,149.6483
"502","89AK",61.5594,149.7056
"503","65AK",61.5606,149.3686
"504","38AK",61.5625,149.6678
"505","5AK8",61.6314,149.4325
"506","8AK8",61.63,149.6825
"507","59AK",61.6317,149.3406
"508","AK25",61.6175,149.6147
"509","6AK7",61.5747,149.635
"510","41AK",61.5008,149.6397
"511","AK47",61.5856,149.5633
"512","87AK",61.6517,149.2883
"513","67AK",61.5347,149.67
"514","4AK2",61.5581,149.4242
"515","AK54",61.5933,149.3261
"516","AK16",61.5233,149.715
"517","77AK",61.5028,149.5956
"518","5AK5",61.6572,149.4617
"519","6AK8",61.6181,149.6692
"520","AK27",61.6425,149.6244
"521","IYS",61.5719,149.5394
"522","44AK",61.5333,150.1025
"523","42AK",61.5689,149.485
"524","9AK8",61.6247,149.6822
"525","23AK",61.5942,149.3108
"526","WMO",64.6892,163.4128
"527","IEM",60.7772,148.7217
"528","78AK",61.7331,150.5261
"529","3AK1",61.7189,150.1958
"530","AK10",61.7172,150.1094
"531","25AK",61.7122,150.0633
"532","AK72",61.7047,150.6011
"533","3AK7",61.7656,150.3389
"534","AK69",61.7294,150.0978
"535","AK68",61.7203,150.0544
"536","02AK",61.8769,150.0978
"537","AK90",61.7447,150.1156
"538","AK67",61.7386,150.0728
"539","AK08",61.79,150.1061
"540","UUO",61.7542,150.0517
"541","0AK2",61.7256,150.6786
"542","WSM",67.4044,150.1228
"543","WRG",56.4844,132.3697
"544","CYT",60.0819,142.4936
"545","A57",59.1992,138.4511
"546","A70",59.4047,139.2331
"547","AK76",59.1261,138.4067
"548","A67",59.4144,139.025
"549","A68",59.5517,139.5092
"550","A69",59.2481,138.5036
"551","YAK",59.5033,139.6603
"552","A77",63.0019,156.3672
"553","L20",65.3114,143.1356
"554","0J0",31.6003,85.2381
"555","2A8",34.2092,87.1581
"556","AL03",35.8539,87.7239
"557","EET",33.1778,86.7833
"558","8A0",34.2292,86.2558
"559","ALX",32.9147,85.9631
"560","AIV",33.1064,88.1978
"561","79J",31.3089,86.3939
"562","ANB",33.5881,85.8581
"563","1M3",34.9778,86.8847
"564","26A",33.2839,85.8089
"565","AL60",33.8386,86.2114
"566","28AL",33.8625,86.1206
"567","0R1",31.0161,87.4467
"568","AUO",32.615,85.4339
"569","1R8",30.8703,87.8194
"570","5R7",30.4547,88.2106
"571","EKY",33.3125,86.9264
"572","BHM",33.5639,86.7522
"573","AL40",33.5431,86.9858
"574","AL29",34.1292,86.6333
"575","3AL6",33.49,86.4125
"576","12J",31.0508,87.0661
"577","60A",31.7328,85.8036
"578","09A",32.1194,88.1275
"579","61A",31.9797,87.3392
"580","AL32",34.3225,85.6436
"581","C22",34.16,85.635
"582","PYP",34.09,85.61
"583","AL27",34.1056,85.5658
"584","0A8",32.9369,87.0906
"585","5AL1",31.6808,86.6819
"586","6AL6",31.3886,88.0925
"587","5R1",31.4519,88.1944
"588","AL01",31.5586,87.5333
"589","02A",32.8506,86.6114
"590","01AL",32.9458,86.5139
"591","11A",31.8833,85.4853
"592","1AL2",33.2486,86.5975
"593","AL02",33.15,87.4417
"594","9A4",34.6594,87.3489
"595","AL51",32.4161,85.2992
"596","15A",30.9133,87.9806
"597","3A1",34.2686,86.8581
"598","4R9",30.2606,88.1275
"599","DCU",34.6542,86.9453
"600","DYA",32.4639,87.9542
"601","5AL4",31.1217,85.3653
"602","DHN",31.3214,85.4497
"603","3M2",34.1442,87.3278
"604","14J",31.41,86.0903
"605","7AL9",30.4669,87.5417
"606","AL08",30.4244,87.5353
"607","AL55",30.4419,87.4639
"608","EDN",31.2997,85.8997
"609","EUF",31.9514,85.1289
"610","3A7",32.8208,87.8625
"611","GZH",31.4158,87.0442
"612","4R4",30.4606,87.8769
"613","AL78",30.5269,87.8542
"614","AL00",33.7444,87.7864
"615","M95",33.7092,87.8156
"616","4AL7",34.7447,85.6897
"617","0AL5",31.0322,87.2528
"618","0J4",31.0425,86.3117
"619","0AL9",34.85,87.6325
"620","NBJ",30.3892,87.6353
"621","02AL",30.3714,87.7644
"622","5R4",30.4278,87.7011
"623","0AL1",30.4439,87.6569
"624","AL15",30.4031,87.7242
"625","67A",31.9725,86.5917
"626","2AL5",34.3928,85.665
"627","4A9",34.4736,85.7214
"628","OZR",31.2758,85.7133
"629","GAD",33.9728,86.0892
"630","AL18",33.6761,86.8675
"631","AL43",32.9083,88.3333
"632","33J",31.0525,85.8689
"633","7A0",32.6814,87.6622
"634","PRN",31.8456,86.6108
"635","3A0",31.6894,87.7614
"636","JKA",30.2897,87.6717
"637","8A1",34.3994,86.2703
"638","AL10",34.6511,86.4169
"639","1M4",34.2803,87.6006
"640","HAB",34.1169,87.9983
"641","2AL7",34.0628,86.7231
"642","AL92",33.3072,86.4036
"643","3AL1",31.0506,85.6853
"644","AL62",31.0831,85.6836
"645","5M0",34.4083,86.9331
"646","00AL",34.8647,86.7703
"647","M38",34.9161,86.6472
"648","0J6",31.3642,85.3117
"649","6AL3",34.5819,85.7556
"650","AL93",34.8856,86.71
"651","HSV",34.6372,86.775
"652","MDQ",34.8614,86.5575
"653","4AL8",34.4906,86.6733
"654","3M5",34.7472,86.4614
"655","AL05",32.2203,85.4681
"656","AL37",31.555,85.9772
"657","4R3",31.4706,87.8958
"658","3AL5",33.8353,85.7639
"659","JFX",33.9019,87.3142
"660","5AL7",31.25,86.1667
"661","7A3",32.8119,85.2294
"662","4AL9",31.9747,86.2939
"663","AL88",30.4267,87.4708
"664","70A",32.2672,87.7186
"665","57AL",30.6533,87.7239
"666","1AL5",30.6364,87.7478
"667","AL35",30.6197,87.7044
"668","AL97",30.6447,87.6694
"669","04A",31.7361,86.2622
"670","2AL1",30.4242,87.7778
"671","AL76",32.8486,86.87
"672","A08",32.5106,87.3847
"673","AL09",34.5333,85.5903
"674","BFM",30.6267,88.0681
"675","MOB",30.6914,88.2428
"676","26AL",30.6242,88.2786
"677","62AL",30.6836,88.3719
"678","MVC",31.4581,87.3511
"679","5AL3",33.1528,86.8514
"680","AL12",32.3583,86.125
"681","MXF",32.3792,86.3625
"682","MGM",32.3006,86.3939
"683","1AL8",33.6111,86.4744
"684","AL34",34.4469,87.3861
"685","L44",32.9681,87.6406
"686","5AL5",34.6911,87.6528
"687","MSL",34.7453,87.6103
"688","20A",33.9711,86.3803
"689","AL89",32.7186,85.3669
"690","AL71",32.8036,85.9806
"691","3AL8",34.6192,86.4669
"692","71J",31.4319,85.6206
"693","PLR",33.5589,86.2492
"694","AL33",31.0253,87.5858
"695","2AL8",32.4211,85.2481
"696","AL79",32.2697,86.0989
"697","71A",31.9686,87.5956
"698","AL16",33.7267,86.7236
