OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,miles_length
5257,1102974509580,US Hwy 23,U,S1100,18.002905570353086,0.011186464525013
5258,1102974509581,US Hwy 23,U,S1100,5408.227367910248200,3.360509966455594
5259,1102974512512,US Hwy 23,U,S1100,1565.483309204973000,0.972744284775880
5260,1102974518423,State Hwy 36,S,S1100,1492.384535424334000,0.927322903403662
5261,1102974518449,US Hwy 23,U,S1100,1216.070548138535100,0.755629695079137
5262,1102974518450,US Hwy 23,U,S1100,89.980076105344892,0.055910915345130
5263,1102974550439,James H Quillen Pkwy,M,S1100,1492.384535424334000,0.927322903403662
5264,1102974599109,US Hwy 19W,U,S1100,1128.227483938375600,0.701046654713602
5265,1102974599114,US Hwy 19W,U,S1100,89.980076105344892,0.055910915345130
5266,1102974599153,US Hwy 19W,U,S1100,1570.240613528658300,0.975700330723221
5267,1102974603678,US Hwy 19W,U,S1100,1492.384535424334000,0.927322903403662
5268,1102974630998,US Hwy 23,U,S1100,1570.240613528658300,0.975700330723221
5269,1102977272452,Tinker Expy,M,S1100,13185.473814709456000,8.193057198312992
5270,1102979628770,US Hwy 270,U,S1100,12373.358328866148000,7.688433039890470
5271,1102979629403,I- 40,I,S1100,1376.361979913076500,0.855229973945357
5272,1102979629407,US Hwy 77,U,S1100,8235.980702352786500,5.117590913062330
5273,1102979629436,State Hwy 3,S,S1100,12943.684952492413000,8.042816865208748
5274,1102979629437,State Hwy 3,S,S1100,39907.476584642391000,24.797306709870121
5275,1102982513961,US Hwy 412,U,S1100,23173.269951608949000,14.399173579464081
5276,1102982573495,US Hwy 412,U,S1100,25.695650826066888,0.015966505256033
5277,1102983251701,N I-35,M,S1100,2289.526363453592700,1.422642880826514
5278,1102984403224,US Hwy 412,U,S1100,2265.216771978008200,1.407537631199087
5279,1102984403225,US Hwy 412,U,S1100,23226.687470982935000,14.432365620779642
5280,1102984403239,I- 155,I,S1100,2265.216771978008200,1.407537631199087
5281,1102988120394,I- 240,I,S1100,26487.217157782576000,16.458360787593119
5282,1102988120473,US Hwy 62,U,S1100,40.836208256332327,0.025374392661802
5283,1102999651729,Northeast Expy,M,S1100,13608.441466594439000,8.455876586802763
5284,1103000023755,Broadway Exd,M,S1100,1210.331605722884000,0.752063688720169
5285,1103000047841,Centennal Expy,M,S1100,1101.011424006351700,0.684135412928189
5286,1103000051291,Centennial Expy,M,S1100,1652.930130874987800,1.027081111940471
5287,1103000061822,US Hwy 77,U,S1100,2527.895338605016100,1.570758198877517
5288,1103000061823,US Hwy 62,U,S1100,2527.895338605016100,1.570758198877517
5289,1103001095282,Turner Tpke,M,S1100,25960.731206779699000,16.131218238808660
5290,1103008407198,US Hwy 270,U,S1100,9775.256937295589500,6.074050909427514
5291,1103013628861,Airport Expy,M,S1100,151.111924002262360,0.093896408585370
5292,1103014112523,Airport Expy,M,S1100,5457.751981693440900,3.391283073220814
5293,1103014139049,Airport Expy,M,S1100,1321.218527994271400,0.820965490011592
5294,1103014139050,Airport Expy,M,S1100,211.914314184236620,0.131677186701916
5295,1103017062165,I- 10,I,S1100,102548.774081510010000,63.720726571796860
5296,1103017118585,I- 5,I,S1100,1943.158617376954900,1.207420371940194
5297,1103017118587,I- 5,I,S1100,142267.802973720890000,88.400937548538366
5298,1103017118588,I- 5,I,S1100,37241.134815105310000,23.140522059196591
5299,1103017118589,I- 5,I,S1100,37198.340050503037000,23.113930678477026
5300,1103017265103,I- 80,I,S1100,7295.653781407153500,4.533300021685600
5301,1103017417756,Fort Pitt Brg,M,S1100,106.020607979854970,0.065878019825866
5302,1103017418453,Fort Pitt Brg,M,S1100,31.810273516476212,0.019765948048353
5303,1103017424987,Fort Duquesne Brg,M,S1100,40.197485321251420,0.024977509423890
5304,1103017424995,Ft Duquesne Brg,M,S1100,106.852570756274790,0.066394976494232
5305,1103017429744,I- 240,I,S1100,6118.692224299341400,3.801971478388022
5306,1103017429850,US Hwy 70,U,S1100,13102.019106076006000,8.141200950224311
5307,1103017429851,US Hwy 19,U,S1100,24744.296589360249000,15.375362322018827
5308,1103017429917,US Hwy 74,U,S1100,14048.514703520841000,8.729324871805799
5309,1103017429972,US Hwy 77,U,S1100,10860.446021444834000,6.748354795837801
5310,1103017430102,US Hwy 70,U,S1100,3160.860284648748300,1.964063595432784
5311,1103017430135,State Hwy 74,S,S1100,5534.684812060169900,3.439086822140292
5312,1103017430159,State Hwy 74,S,S1100,12430.339098434913000,7.723839177799598
5313,1103017430166,US Hwy 77,U,S1100,9017.890598807347500,5.603446225931901
5314,1103017430173,Will Rogers Expy,M,S1100,4970.111282084106300,3.088277796332879
5315,1103017430200,Turner Tpke,M,S1100,26101.726966673414000,16.218828767012820
5316,1103017430292,State Hwy 3,S,S1100,12430.339098434913000,7.723839177799598
5317,1103017430421,I- 44,I,S1100,2570.982758705691100,1.597531426929341
5318,1103017430482,Northeast Expy,M,S1100,12192.134515877413000,7.575826008366378
5319,1103017430487,US Hwy 62,U,S1100,34.621061194348741,0.021512487045794
5320,1103017430488,US Hwy 62,U,S1100,20.940274274400497,0.013011657168295
5321,1103017430490,US Hwy 62,U,S1100,12.761016627153776,0.007929312257119
5322,1103017430491,US Hwy 62,U,S1100,7207.637758260387300,4.478609509828147
5323,1103017430492,US Hwy 62,U,S1100,7244.583764692653900,4.501566647979005
5324,1103017437113,Crosstown Blvd,M,S1100,554.781342716068590,0.344724454904224
5325,1103017718725,Crosstown Blvd,M,S1100,894.191626005312860,0.555623805489728
5326,1103017718748,Fort Pitt Tunl,M,S1100,1294.974440197178400,0.804658202502571
5327,1103017718750,Fort Pitt Brg,M,S1100,93.981435471886499,0.058397239812629
5328,1103017750411,Raymond P Shafer Hwy,M,S1100,39340.116720680468000,24.444766339854638
5329,1103017753334,I- 279,I,S1100,602.233278447151630,0.374209661812884
5330,1103017797062,Crosstown Blvd,M,S1100,263.258685709765420,0.163581036243584
5331,1103017797080,Fort Pitt Tunl,M,S1100,1226.644186687613700,0.762199836330356
5332,1103017797242,Ft Duquesne Brg,M,S1100,95.616519446988391,0.059413231859658
5333,1103017797243,Ft Duquesne Brg,M,S1100,199.963586102922820,0.124251363397602
5334,1103017837364,Airport Expy,M,S1100,12.700126145261164,0.007891476741460
5335,1103018454343,W Leg Dan Ryan Expy,M,S1100,3343.619422661128700,2.077624631789278
5336,1103018454793,W Leg Dan Ryan Expy,M,S1100,3349.755287518251000,2.081437273825655
5337,1103018454794,W Leg Dan Ryan Expy,M,S1100,4068.204386879548100,2.527859954410477
5338,1103018472892,Moline Expy E,M,S1100,4621.755309461233100,2.871819863217941
5339,1103018472919,I- 57,I,S1100,21203.678206301014000,13.175328456156421
5340,1103018472985,W Leg Dan Ryan Expy,M,S1100,16898.163538320790000,10.500011024363786
5341,1103024769294,I- 15,I,S1100,137892.557511819700000,85.682291496848819
5342,1103024777665,I- 515,I,S1100,32210.542608616943000,20.014663233921226
5343,1103024852341,I- 240,I,S1100,8879.223021069437900,5.517282360156309
5344,1103024852370,US Hwy 74,U,S1100,934.649966459800000,0.580763402454582
5345,1103024852393,US Hwy 74,U,S1100,1008.360528727375700,0.626564930808030
5346,1103025514827,I- 26,I,S1100,7651.266037643099500,4.754266791382714
5347,1103025769877,E Portland Fwy,M,S1100,465.418031654126590,0.289196778822963
5348,1103025769881,I- 205,I,S1100,465.418031654126590,0.289196778822963
5349,1103025998336,I- 526,I,S1100,7240.129238298140100,4.498798739138223
5350,1103026033654,I- 759,I,S1100,6505.135522593209300,4.042095731131544
5351,1103026033985,I- 59,I,S1100,68568.749719255109000,42.606560549985375
5352,1103026354809,I- 271,I,S1100,4975.259225274896400,3.091476573533344
5353,1103026474540,I- 65,I,S1100,9654.090196835213600,5.998761538027184
5354,1103026482984,US Hwy 23,U,S1100,43108.136081988217000,26.786100340086428
5355,1103026482989,US Hwy 23,U,S1100,9003.970971171347600,5.594796987610732
5356,1103026532749,I- 40,I,S1100,47858.091222608156000,29.737579725916714
5357,1103026674687,I- 40,I,S1100,21334.689277687445000,13.256734798967088
5358,1103026965630,I- 255,I,S1100,5892.427819864434200,3.661377576831799
5359,1103026965631,I- 255,I,S1100,5706.939849399370400,3.546120925992001
5360,1103026965636,US Hwy 50,U,S1100,5200.093239466506900,3.231181673576332
5361,1103026965637,US Hwy 50,U,S1100,5182.136019170513500,3.220023596507940
5362,1103026965638,US Hwy 50,U,S1100,5881.403863030276600,3.654527621330523
5363,1103026965639,US Hwy 50,U,S1100,5706.939849399370400,3.546120925992001
5364,1103027223738,I- 255,I,S1100,5897.614188455716400,3.664600230421426
5365,1103027223739,I- 255,I,S1100,5881.403863030276600,3.654527621330523
5366,1103033743557,Dan Ryan Expy,M,S1100,185.534856602754300,0.115285784476806
5367,1103034665123,I- 90,I,S1100,84219.061401920262000,52.331193929823236
5368,1103036998896,I- 90,I,S1100,10611.598489869260000,6.593728417710744
5369,1103037525299,US Hwy 6,U,S1100,926.408344251901100,0.575642306079504
5370,1103059124170,I- 91,I,S1100,67469.488639193529000,41.923512748185750
5371,1103059124171,I- 91,I,S1100,47504.344116563327000,29.517771904499654
5372,1103059127543,I- 91,I,S1100,67437.139775450109000,41.903412136355279
5373,1103059127645,I- 91,I,S1100,47645.254172562207000,29.605329178879007
5374,1103070666244,I- 80,I,S1100,17240.250806562275000,10.712573772953862
5375,1103070666246,I- 80,I,S1100,32498.093311278717000,20.193338599511410
5376,1103070666247,I- 80,I,S1100,32498.424380233708000,20.193544315811252
5377,1103070666259,Ohio Tpke,M,S1100,32498.093311278717000,20.193338599511410
5378,1103070666349,Ohio Tpke,M,S1100,32498.424380233708000,20.193544315811252
5379,1103070666350,Ohio Tpke,M,S1100,17240.250806562268000,10.712573772953858
5380,1103071960850,US Hwy 74,U,S1100,7756.666766243493800,4.819759636789873
5381,1103072204852,State Rte 403,S,S1100,3844.529898956425300,2.388875349146377
5382,1103072236481,I- 85,I,S1100,3844.529898956425300,2.388875349146377
5383,1103073197434,I- 70,I,S1100,47024.187181306785000,29.219416813889644
5384,1103074360457,I- 81,I,S1100,38234.591705468272000,23.757826316986833
5385,1103074360458,I- 81,I,S1100,10259.614858392250000,6.375016366396825
5386,1103074390278,I- 81,I,S1100,38228.004888461219000,23.753733466835829
5387,1103074390282,I- 81,I,S1100,8892.010600256770000,5.525228177590105
5388,1103074399094,I- 64,I,S1100,413.896188205866450,0.257182653561631
5389,1103090298957,New York State Throughway,M,S1100,9417.664727298935800,5.851853855962107
5390,1103090342236,I- 87,I,S1100,38480.023340855812000,23.910330159872053
5391,1103090673238,I- 26,I,S1100,27588.119140735118000,17.142428197139228
5392,1103090695417,New York State Throughway,M,S1100,38480.023340855812000,23.910330159872053
5393,1103090695451,New York State Throughway,M,S1100,9413.749684203010500,5.849421165831321
5394,1103307967981,Waialae Ave,M,S1100,353.469705863557920,0.219635453280434
5395,1103350345329,I-40 W,M,S1100,358.476719615586890,0.222746661162652
5396,1103358580927,Island Rd,M,S1100,1141.392782601361900,0.709227175678908
5397,1103365926085,I-40,M,S1100,914.743598170559150,0.568394183396069
5398,1103437612987,Riverbend N,M,S1100,309.470983088338300,0.192295969131753
5399,1103437613054,Deborgia Haugan Frontage Rd,M,S1100,309.470983088338300,0.192295969131753
5400,1103445648884,State Hwy 1272,S,S1100,533.007794266206700,0.331195026203607
5401,1103448226034,Lehigh Dr,M,S1100,801.572129509704270,0.498072833630004
5402,1103476493510,I-70 E,M,S1100,157.371028255375620,0.097785627879011
5403,1103526990417,Rte 66,O,S1100,1282.647139738225000,0.796998388438982
5404,1103552167712,Kronenwetter Dr,M,S1100,951.867589130204350,0.591461915783714
5405,1103577405100,Airport Expy,M,S1100,1104.263373094274100,0.686156076368712
5406,1103577405151,McClaren Run Rd,M,S1100,1104.263373094274100,0.686156076368712
5407,1103594367840,10-Hov Fwy,M,S1100,573.531345431283170,0.356375143144407
5408,1103594367842,Silber Rd,M,S1100,573.531345431283170,0.356375143144407
5409,1103612306968,S 71 Hwy,M,S1100,1388.444777052325400,0.862737860993530
5410,1103612317222,S 71 Hwy,M,S1100,1497.360163518973000,0.930414609181534
5411,1103612317594,S 71 Hwy,M,S1100,1205.054208136706400,0.748784472448582
5412,1103662626368,Biddle Pike,M,S1100,17.821287703476756,0.011073612640244
5413,1103662626717,Cincinnati Pike,M,S1100,32.262272724081441,0.020046806773155
5414,1103672787992,State Hwy 50,S,S1100,10878.696837568628000,6.759695304530885
5415,1103672787994,State Hwy 50,S,S1100,10878.078837770929000,6.759311298027800
5416,1103674442880,I- 40,I,S1100,67196.437003118888000,41.753846666868533
5417,1103674442944,I- 40,I,S1100,21731.863258694761000,13.503526775486311
5418,1103674459754,I- 40,I,S1100,67127.370284792152000,41.710930683590071
5419,1103674459771,I- 40,I,S1100,21775.524827084046000,13.530656762031231
5420,1103676680629,Cross Station Exd,M,S1100,970.873725003631880,0.603271757471480
5421,1103677102821,State Hwy 32,S,S1100,3456.888936570245300,2.148006903926303
5422,1103681324393,I- 495,I,S1100,11194.526161257465000,6.955942155440441
5423,1103681344737,Maine Tpke,M,S1100,30253.041313807309000,18.798330753229067
5424,1103681344751,Maine Tpke,M,S1100,27062.176984057463000,16.815623545807171
5425,1103681347953,I- 495,I,S1100,11104.155992668642000,6.899788848348554
5426,1103681783061,Maine Tpke,M,S1100,27136.385154784890000,16.861734273104183
5427,1103681783104,Maine Tpke,M,S1100,422.472978273220970,0.262512013172612
5428,1103685956459,Connecticut Tpke,M,S1100,15371.067582415108000,9.551119487368730
5429,1103685969964,I- 64,I,S1100,51372.828191023778000,31.921531658469160
5430,1103685969972,I- 64,I,S1100,16921.266796227512000,10.514366694562455
5431,1103685971331,Governor John Davis Lodge Tpke,M,S1100,17799.570916798417000,11.060118481602803
5432,1103685975916,I- 64,I,S1100,51366.325780395680000,31.917491255905585
5433,1103685975918,I- 64,I,S1100,16961.362531259885000,10.539280979414483
5434,1103686624902,Governor John Davis Lodge Tpke,M,S1100,1037.227177658296800,0.644501798996325
5435,1103689801740,Expreso Jose de Diego,M,S1100,5448.476376848660000,3.385519491106877
5436,1103689811229,Wendell H Ford Western Ky Pkwy,M,S1100,10.163892665653785,0.006315537472329
5437,1103689893770,Autopista Luis A Ferre,M,S1100,20030.408840249929000,12.446294129429287
5438,1103689949119,I- 40,I,S1100,84078.225078452640000,52.243682470623106
5439,1103690008379,I- 380,I,S1100,249.038823602986470,0.154745241244469
5440,1103690035072,I- 5,I,S1100,47329.847092350145000,29.409344697377289
5441,1103690035073,I- 5,I,S1100,39610.313810692649000,24.612658692029189
5442,1103690035074,I- 5,I,S1100,45555.454697842193000,28.306790584817662
5443,1103690035197,US Hwy 12,U,S1100,27437.914708497032000,17.049095676665530
5444,1103690035204,US Hwy 12,U,S1100,4533.361181206209900,2.816894408208467
5445,1103690046563,US Hwy 12,U,S1100,27438.445086364300000,17.049425237534130
5446,1103690046571,US Hwy 12,U,S1100,4540.219525654040800,2.821155977351635
5447,1103690113136,I- 5,I,S1100,61267.472827537211000,38.069766496529986
5448,1103690113141,I- 5,I,S1100,39616.833956149865000,24.616710114482640
5449,1103690113143,I- 5,I,S1100,45554.903978693612000,28.306448384488121
5450,1103690113146,I- 5,I,S1100,32132.422703024378000,19.966121872128625
5451,1103690113147,I- 5,I,S1100,47298.051827090407000,29.389588075008668
5452,1103690204191,Pennsylvania Tpke,M,S1100,15592.291235264023000,9.688581217366549
5453,1103690252828,E Grand River Ave,M,S1100,1612.330440116826600,1.001853684144562
5454,1103690254223,E Grand River Ave,M,S1100,5058.082876640327400,3.142940701599269
5455,1103690255212,I- 43,I,S1100,39919.140974370566000,24.804554611126406
5456,1103690304345,I- 85,I,S1100,34894.423148660666000,21.682345949538671
5457,1103690304348,I- 85,I,S1100,34896.436775100388000,21.683597156497825
5458,1103690304349,I- 85,I,S1100,10412.920439627653000,6.470275847666361
5459,1103690304353,I- 85,I,S1100,10405.381753936104000,6.465591534918945
5460,1103690534925,State Rte 403,S,S1100,34894.423148660666000,21.682345949538671
5461,1103690534927,State Rte 403,S,S1100,10412.920439627653000,6.470275847666361
5462,1103690536953,State Rte 403,S,S1100,34896.436775100388000,21.683597156497825
5463,1103690536961,State Rte 403,S,S1100,10405.381753936104000,6.465591534918945
5464,1103690555766,I- 57,I,S1100,6123.265317459546200,3.804813061054014
5465,1103690564931,I- 64,I,S1100,6452.454486391698100,4.009361318327669
5466,1103690933520,US Hwy 501,U,S1100,443.997553450780460,0.275886737363593
5467,1103690933521,US Hwy 501,U,S1100,3356.252877824196300,2.085474681185900
5468,1103690958132,I- 79,I,S1100,44835.509178018736000,27.859438073525844
5469,1103690960345,I- 5,I,S1100,748.176664433487300,0.464894496192336
5470,1103690960347,I- 5,I,S1100,517.784036057909700,0.321735440334594
5471,1103691326961,I- 26,I,S1100,4319.239135144229300,2.683845403261179
5472,1103691438254,State Hwy 9a,S,S1100,3538.292039527267700,2.198588345899440
5473,1103691445237,S Dames Point Bg,M,S1100,2968.426015382625300,1.844490723257796
5474,1103691568003,US Hwy 85,U,S1100,33769.986894339272000,20.983655050980698
5475,1103691600605,San Bernardino Fwy,M,S1100,48611.353266244369000,30.205634123927410
5476,1103691600642,San Bernardino Fwy,M,S1100,42715.504984018502000,26.542131174570837
5477,1103691660149,I- 10,I,S1100,42715.504984018502000,26.542131174570837
5478,1103691664894,Jacob Dekema Fwy,M,S1100,4650.875118756862300,2.889914037649269
5479,1103692252960,Delaware Tpke,M,S1100,37175.507047044317000,23.099742936271063
5480,1103698803480,I- 95,I,S1100,37644.970496639507000,23.391453416235752
5481,1103698808149,US Hwy 202,U,S1100,6079.395366360328800,3.777553591755147
5482,1103698812450,I- 95,I,S1100,37175.507047044324000,23.099742936271070
5483,1103698812646,US Hwy 202,U,S1100,3630.750159860122900,2.256039043461064
5484,1103698812962,Delaware Tpke,M,S1100,37641.662565073071000,23.389397966965383
5485,1103698818625,US Hwy 202,U,S1100,9255.399513403670400,5.751027128199218
5486,1103699001180,I- 80,I,S1100,35456.985457624993000,22.031905263047598
5487,1103699001183,I- 80,I,S1100,41953.388012773823000,26.068574590639287
5488,1103699001477,I- 80,I,S1100,35453.802946747048000,22.029927746424104
