GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
36093020102,NY,1,1067,0,0,1,2833,U,0,0,0,0,0
36027060100,NY,1,1999,286,0.059596,0,4799,U,0,0,0,0,0
36027080201,NY,1,1637,6,0.001293,0,4640,U,0,0,0,0,0
36013035500,NY,1,1291,9,0.003078,1,2924,C,0,0,0,0,0
36001014613,NY,1,1163,120,0.041914,0,2863,U,0,0,0,0,0
36055012304,NY,1,1545,12,0.00284,0,4226,U,0,0,0,0,0
36079010100,NY,1,1407,100,0.026015,0,3844,U,0,0,0,0,0
36063023500,NY,1,1081,121,0.046236,1,2617,C,0,0,0,0,0
36079010900,NY,1,2803,8,0.00103,0,7771,U,0,0,0,0,0
36065026600,NY,1,8,2900,0.995537,0,2913,U,0,0,0,0,0
36059517901,NY,1,1632,50,0.010809,0,4626,U,0,0,0,0,0
36061006400,NY,1,4873,268,0.033127,0,8090,U,3,1.9097846813E-005,0.0691666593,1.9097848857E-005,0.0691666667
36047034800,NY,1,757,3,0.001183,1,2537,U,1,6.5198444692E-005,0.2366738371,7.3763719368E-005,0.2677660276
36047037500,NY,1,1112,29,0.009966,1,2910,U,1,1.5450374449E-005,0.0559973175,1.5450372182E-005,0.0559973092
36067010200,NY,1,2316,0,0,0,5892,U,2,0.0002414529,0.8413406931,0.0006774889,2.3608178396
36067010500,NY,1,904,9,0.003678,0,2447,U,3,0.0001544408,0.5388818405,0.0003330962,1.1622837148
36081044302,NY,1,1499,7,0.00134,1,5223,U,1,2.9630706872E-005,0.107309103,2.9630705713E-005,0.1073090988
36081047300,NY,1,1536,0,0,1,3997,U,1,2.1117833085E-005,0.07648222,2.1117830778E-005,0.0764822117
36081047800,NY,1,2149,10,0.001889,0,5294,U,1,6.849044089E-005,0.2481147251,7.0257666718E-005,0.2545167821
36061009800,NY,1,4615,81,0.011072,0,7316,U,2,1.8884831254E-005,0.0683761332,1.8884830028E-005,0.0683761288
36061011300,NY,1,84,18,0.153846,1,117,U,2,1.8726894457E-005,0.0678052861,1.8726891892E-005,0.0678052768
36061016700,NY,1,3351,17,0.00259,0,6564,U,1,2.9237701146E-005,0.1058134735,3.5960751187E-005,0.1301436201
36047048200,NY,1,1982,8,0.001501,1,5331,U,1,0.000020932,0.0759256276,0.000020932,0.0759256186
36047049100,NY,1,2567,0,0,1,6418,U,1,2.2152162688E-005,0.0802681657,2.2152162811E-005,0.0802681662
36067013300,NY,1,1118,26,0.011078,0,2347,U,1,0.0001212336,0.4233142724,0.0002175386,0.7595538082
36067014600,NY,1,1775,1032,0.207771,0,4967,U,7,0.0004341216,1.5172441137,0.0007315763,2.5567317975
36081055700,NY,1,1331,0,0,1,3915,U,1,2.5139124593E-005,0.0910977696,2.5139124736E-005,0.0910977701
36081060300,NY,1,661,0,0,1,1706,U,1,1.9257884023E-005,0.0697699089,1.9257883272E-005,0.0697699061
36081061301,NY,1,1887,0,0,0,5295,U,1,7.5863344134E-005,0.2748688315,7.5863340249E-005,0.2748688174
36081062900,NY,1,1067,10,0.003595,1,2782,U,1,0.000018376,0.0665872356,0.000018376,0.0665872267
36027140500,NY,1,1201,49,0.018933,0,2588,U,2,0.0003144716,1.1230893459,0.0007421432,2.6504322226
36027190401,NY,1,764,1,0.00048,0,2085,U,1,0.0001205709,0.4311688627,0.0003902075,1.3954571312
36027300000,NY,1,2225,109,0.019739,1,5522,U,1,0.0001596104,0.5706375126,0.0003342918,1.1951214625
36029001000,NY,1,2394,37,0.006457,1,5730,U,1,0.0001427898,0.500621451,0.0002310299,0.8099674112
36047057900,NY,1,467,1,0.000895,1,1117,U,1,6.0213845229E-005,0.2180873946,8.5167608514E-005,0.3084640198
36047062800,NY,1,1918,0,0,0,5226,U,1,7.2357532893E-005,0.2626209604,0.0001111408,0.4033939363
36047065200,NY,1,442,0,0,0,1232,U,1,1.8656098074E-005,0.0676884719,1.8656098321E-005,0.0676884728
36071002200,NY,1,1472,31,0.009083,1,3413,C,1,0.0001068254,0.3832280797,0.0001321272,0.4739934513
36081065600,NY,1,1448,6,0.001236,0,4853,U,1,4.2869341461E-005,0.1554315492,6.2824642439E-005,0.2277916077
36081068000,NY,1,1474,4,0.00085,0,4708,U,1,5.3842516046E-005,0.1952121743,8.0461314839E-005,0.2917222301
36029003100,NY,1,1059,72,0.031386,1,2294,U,1,7.265151707E-005,0.2545086852,0.0001662271,0.5823153822
36029004100,NY,1,1901,1,0.000222,1,4497,U,1,0.0001022357,0.3579973867,0.0001195384,0.4185855749
36047069000,NY,1,597,3,0.001675,0,1791,U,1,1.8383372254E-005,0.0666941162,1.8383374858E-005,0.0666941256
36047079602,NY,1,1811,0,0,1,4814,U,1,1.43705893E-005,0.0521107703,1.4370590283E-005,0.0521107739
36047082400,NY,1,1640,0,0,1,4730,U,1,2.2827908342E-005,0.082783583,2.2827909939E-005,0.0827835888
36071010801,NY,1,1333,10,0.002755,0,3630,C,1,0.0002231382,0.7987777333,0.0008526994,3.0524277822
36081086900,NY,1,733,0,0,0,2131,U,1,0.000065174,0.2359420245,0.000065174,0.2359420289
36081090700,NY,1,448,0,0,1,1355,U,1,0.0001754684,0.6351427917,0.0002534089,0.9172785066
36081094500,NY,1,1375,12,0.003022,0,3971,U,1,0.00009025,0.3266229011,0.0002124328,0.7687742525
36081100802,NY,1,2303,42,0.005181,1,8106,U,1,0.000054112,0.1963638991,0.0001262055,0.4579843276
36029008900,NY,1,1956,18,0.004273,0,4213,U,1,9.064687271E-005,0.3172277211,0.0002401254,0.8403640283
36029009113,NY,1,2515,26,0.003791,0,6858,U,1,0.0001256526,0.4393587074,0.0003603986,1.2602128302
36029009301,NY,1,2355,4,0.000756,1,5293,U,3,0.000119159,0.4169950734,0.0002138121,0.7481880296
36029010003,NY,1,1666,1,0.000263,1,3807,U,2,0.0002277265,0.7975061208,0.0002347474,0.8220963051
36029010102,NY,1,1617,7,0.002002,1,3497,U,1,0.0001114987,0.390414241,0.0002432541,0.8517644224
36029010700,NY,1,1224,0,0,0,2693,U,2,0.000422203,1.4788177109,0.0006273148,2.1972414514
36029012001,NY,1,1729,6,0.001457,0,4118,U,1,0.0001458138,0.5113889657,0.0004443319,1.5583951658
36047086000,NY,1,1192,48,0.014011,1,3426,U,1,1.8929121266E-005,0.0686437586,1.8929119925E-005,0.0686437537
36047088000,NY,1,1118,0,0,1,2863,U,2,1.9006921797E-005,0.0689143028,1.9006922335E-005,0.0689143048
36047095400,NY,1,1506,0,0,1,4607,U,1,2.5215910276E-005,0.091456739,2.5215908969E-005,0.0914567343
36081116300,NY,1,2772,695,0.07634,1,9104,U,3,2.6834085482E-005,0.0971464716,2.6834084271E-005,0.0971464673
36081122702,NY,1,2734,0,0,1,6427,U,3,3.8298816254E-005,0.138716884,4.8374866878E-005,0.1752089853
36081137700,NY,1,2335,24,0.003633,0,6606,U,1,5.907630306E-005,0.213924048,8.0610442316E-005,0.2919029352
36081138502,NY,1,0,72,1,0,72,U,1,0.0001245626,0.4509905745,0.0002548294,0.9227119864
36029013701,NY,1,2738,16,0.002546,0,6284,U,1,0.0001289572,0.4524995158,0.00047745,1.6754777028
36029014502,NY,1,1112,11,0.004624,1,2379,U,2,0.0001863007,0.6526149519,0.0002371221,0.8306460255
36029014603,NY,1,1623,10,0.002229,0,4487,U,3,0.0001928496,0.674625043,0.0004274692,1.4953610372
36047119800,NY,1,992,222,0.064799,1,3426,U,1,3.4772192085E-005,0.126047554,3.4772194166E-005,0.1260475615
36051030900,NY,1,1295,11,0.003684,1,2986,C,1,0.0002094744,0.7358590321,0.0005456389,1.916897961
36071012602,NY,1,1460,8,0.002375,1,3369,U,2,0.0002410517,0.8636092092,0.0002846662,1.0198773725
36071013000,NY,1,1633,25,0.005723,0,4368,U,2,0.0002407059,0.8626281149,0.0006358624,2.2787260803
36081146300,NY,1,987,394,0.131333,0,3000,U,1,3.4264830869E-005,0.124055188,3.4264830423E-005,0.1240551864
36081152901,NY,1,2528,0,0,0,6401,U,1,0.0001006879,0.3645685642,0.0001493267,0.5406926936
36029015401,NY,1,1064,44,0.016498,0,2667,U,1,0.0001575893,0.5538147354,0.0002184612,0.767743591
