"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"539","RT @kdnuggets: #DataScience in Govt: Chief #DataScientists for US: DJ Patil @dj44, Florida, Massachusetts https://t.co/ZbKCeORLz8 https://t…",FALSE,0,NA,2016-03-15 20:33:34,FALSE,NA,"709839983591477249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",7,TRUE,FALSE,NA,NA
"540","RT @kdnuggets: How to tell a great #analyst from a good #analyst - @quandl #DataScience #Analytics https://t.co/rC9wJXDLbW https://t.co/5Jl…",FALSE,0,NA,2016-03-15 20:33:26,FALSE,NA,"709839947906326528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",5,TRUE,FALSE,NA,NA
"541","RT @MarkTabNet: How to Learn Advanced Mathematics Without Heading to University - Part 1 https://t.co/x5xhVqRfC1
#datascience #datamining @…",FALSE,0,NA,2016-03-15 20:33:13,FALSE,NA,"709839894005342209",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","arcanecode",8,TRUE,FALSE,NA,NA
"542","Five Business Challenges Data Can Solve - Silicon Valley Data Science https://t.co/mXyIafdSaF @edd @SVDataScience #BigData #DataScience",FALSE,1,NA,2016-03-15 20:32:53,FALSE,NA,"709839811604029440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","olopezvelilla",0,FALSE,FALSE,NA,NA
"543","#Forecasting with #Tableau https://t.co/GKdQTXib6u #dataviz #datascience #datanerd #talkdatatome",FALSE,0,NA,2016-03-15 20:32:17,FALSE,NA,"709839657824100354",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","analyticandrew",0,FALSE,FALSE,NA,NA
"544","Before embarking on expensive #datascience projects and activities, identify the questions to be answered: https://t.co/Sv83kU6kqs",FALSE,0,NA,2016-03-15 20:31:16,FALSE,NA,"709839403062005761",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","edwardmeinert",0,FALSE,FALSE,NA,NA
"545","RT @amydyslex: Preparing For The #BigData Revolution
 https://t.co/PEPvc2pYqH 
#Data #DataScience",FALSE,0,NA,2016-03-15 20:30:01,FALSE,NA,"709839088963211265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shaancheema",4,TRUE,FALSE,NA,NA
"546","@AtlantaARMA thank you for hosting me today! What a treat! #infogov #ig #datascience #biglittledata #fileshares",FALSE,1,"AtlantaARMA",2016-03-15 20:29:39,FALSE,NA,"709838997636444160","927002246","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mimi_Dionne",0,FALSE,FALSE,NA,NA
"547","RT @KirkDBorne: #BigData is a Billion Dollar Industry, in Massachusetts alone! https://t.co/LfO2yBPAik #Analytics #DataScience https://t.co…",FALSE,0,NA,2016-03-15 20:29:34,FALSE,NA,"709838976073338880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keijo_j_k",79,TRUE,FALSE,NA,NA
"548","RT @kdnuggets: Top Feb stories: 21 #DataScience Interview Q&amp;A; Gartner 2016 MQ #Analytics gainers &amp; losers https://t.co/z4dU9xrC4W https://…",FALSE,0,NA,2016-03-15 20:29:20,FALSE,NA,"709838914761187328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keijo_j_k",30,TRUE,FALSE,NA,NA
