"","city","State","Year","Count","address","longitude","latitude"
"244","Amarillo","TX","1985",759,"Amarillo , TX",-101.8312969,35.2219971
"245","Amarillo","TX","1994",1261,"Amarillo , TX",-101.8312969,35.2219971
"246","Amarillo","TX","1995",1380,"Amarillo , TX",-101.8312969,35.2219971
"247","Amarillo","TX","1988",923,"Amarillo , TX",-101.8312969,35.2219971
"248","Amarillo","TX","1993",1129,"Amarillo , TX",-101.8312969,35.2219971
"249","Amarillo","TX","1996",1428,"Amarillo , TX",-101.8312969,35.2219971
"250","Amarillo","TX","1997",1244,"Amarillo , TX",-101.8312969,35.2219971
"251","Amarillo","TX","1998",1265,"Amarillo , TX",-101.8312969,35.2219971
"252","Amarillo","TX","1999",1221,"Amarillo , TX",-101.8312969,35.2219971
"253","Amarillo","TX","2000",1434,"Amarillo , TX",-101.8312969,35.2219971
"254","Amarillo","TX","2001",1404,"Amarillo , TX",-101.8312969,35.2219971
"255","Amarillo","TX","1989",960,"Amarillo , TX",-101.8312969,35.2219971
"256","Amarillo","TX","1990",926,"Amarillo , TX",-101.8312969,35.2219971
"257","Amarillo","TX","1991",906,"Amarillo , TX",-101.8312969,35.2219971
"258","Amarillo","TX","1992",1134,"Amarillo , TX",-101.8312969,35.2219971
"259","Amarillo","TX","2006",1622,"Amarillo , TX",-101.8312969,35.2219971
"260","Amarillo","TX","2007",1835,"Amarillo , TX",-101.8312969,35.2219971
"261","Amarillo","TX","2008",1473,"Amarillo , TX",-101.8312969,35.2219971
"262","Amarillo","TX","2009",1580,"Amarillo , TX",-101.8312969,35.2219971
"263","Amarillo","TX","2010",1200,"Amarillo , TX",-101.8312969,35.2219971
"264","Amarillo","TX","2011",1223,"Amarillo , TX",-101.8312969,35.2219971
"265","Amarillo","TX","2012",1278,"Amarillo , TX",-101.8312969,35.2219971
"266","Amarillo","TX","2004",1426,"Amarillo , TX",-101.8312969,35.2219971
"267","Amarillo","TX","2005",1537,"Amarillo , TX",-101.8312969,35.2219971
"268","Amarillo","TX","2002",1478,"Amarillo , TX",-101.8312969,35.2219971
"269","Amarillo","TX","2003",1496,"Amarillo , TX",-101.8312969,35.2219971
"270","Amherst Town","NY","2000",74,"Amherst Town , NY",-78.7914222,42.9756133
"271","Amherst Town","NY","2001",84,"Amherst Town , NY",-78.7914222,42.9756133
"272","Amherst Town","NY","2006",122,"Amherst Town , NY",-78.7914222,42.9756133
"273","Amherst Town","NY","2007",137,"Amherst Town , NY",-78.7914222,42.9756133
"274","Amherst Town","NY","2008",141,"Amherst Town , NY",-78.7914222,42.9756133
"275","Amherst Town","NY","1996",98,"Amherst Town , NY",-78.7914222,42.9756133
"276","Amherst Town","NY","1997",97,"Amherst Town , NY",-78.7914222,42.9756133
"277","Amherst Town","NY","1998",91,"Amherst Town , NY",-78.7914222,42.9756133
"278","Amherst Town","NY","1999",76,"Amherst Town , NY",-78.7914222,42.9756133
"279","Amherst Town","NY","1985",229,"Amherst Town , NY",-78.7914222,42.9756133
"280","Amherst Town","NY","1986",246,"Amherst Town , NY",-78.7914222,42.9756133
"281","Amherst Town","NY","1987",223,"Amherst Town , NY",-78.7914222,42.9756133
"282","Amherst Town","NY","1988",249,"Amherst Town , NY",-78.7914222,42.9756133
"283","Amherst Town","NY","1989",281,"Amherst Town , NY",-78.7914222,42.9756133
"284","Amherst Town","NY","1990",256,"Amherst Town , NY",-78.7914222,42.9756133
"285","Amherst Town","NY","1991",293,"Amherst Town , NY",-78.7914222,42.9756133
"286","Amherst Town","NY","1992",283,"Amherst Town , NY",-78.7914222,42.9756133
"287","Amherst Town","NY","1993",187,"Amherst Town , NY",-78.7914222,42.9756133
"288","Amherst Town","NY","1994",109,"Amherst Town , NY",-78.7914222,42.9756133
"289","Amherst Town","NY","1995",85,"Amherst Town , NY",-78.7914222,42.9756133
"290","Amherst Town","NY","2010",119,"Amherst Town , NY",-78.7914222,42.9756133
"291","Amherst Town","NY","2011",124,"Amherst Town , NY",-78.7914222,42.9756133
"292","Amherst Town","NY","2012",88,"Amherst Town , NY",-78.7914222,42.9756133
"293","Amherst Town","NY","2004",111,"Amherst Town , NY",-78.7914222,42.9756133
"294","Amherst Town","NY","2005",102,"Amherst Town , NY",-78.7914222,42.9756133
"295","Amherst Town","NY","2002",101,"Amherst Town , NY",-78.7914222,42.9756133
"296","Amherst Town","NY","2003",120,"Amherst Town , NY",-78.7914222,42.9756133
"297","Amherst Town","NY","2009",129,"Amherst Town , NY",-78.7914222,42.9756133
"298","Anaheim","CA","2012",1279,"Anaheim , CA",-117.9145036,33.8352932
"299","Anaheim","CA","1991",1942,"Anaheim , CA",-117.9145036,33.8352932
"300","Anaheim","CA","1992",1748,"Anaheim , CA",-117.9145036,33.8352932
"301","Anaheim","CA","1993",1950,"Anaheim , CA",-117.9145036,33.8352932
"302","Anaheim","CA","1986",1357,"Anaheim , CA",-117.9145036,33.8352932
"303","Anaheim","CA","2009",1184,"Anaheim , CA",-117.9145036,33.8352932
"304","Anaheim","CA","2010",1161,"Anaheim , CA",-117.9145036,33.8352932
"305","Anaheim","CA","2011",1281,"Anaheim , CA",-117.9145036,33.8352932
"306","Anaheim","CA","1985",1162,"Anaheim , CA",-117.9145036,33.8352932
"307","Anaheim","CA","1999",1639,"Anaheim , CA",-117.9145036,33.8352932
"308","Anaheim","CA","1987",1274,"Anaheim , CA",-117.9145036,33.8352932
"309","Anaheim","CA","1988",1442,"Anaheim , CA",-117.9145036,33.8352932
"310","Anaheim","CA","1989",1651,"Anaheim , CA",-117.9145036,33.8352932
"311","Anaheim","CA","1990",1802,"Anaheim , CA",-117.9145036,33.8352932
"312","Anaheim","CA","2004",1530,"Anaheim , CA",-117.9145036,33.8352932
"313","Anaheim","CA","2005",1616,"Anaheim , CA",-117.9145036,33.8352932
"314","Anaheim","CA","2006",1524,"Anaheim , CA",-117.9145036,33.8352932
"315","Anaheim","CA","1994",2644,"Anaheim , CA",-117.9145036,33.8352932
"316","Anaheim","CA","1995",2475,"Anaheim , CA",-117.9145036,33.8352932
"317","Anaheim","CA","1996",2071,"Anaheim , CA",-117.9145036,33.8352932
"318","Anaheim","CA","1997",1964,"Anaheim , CA",-117.9145036,33.8352932
"319","Anaheim","CA","1998",1518,"Anaheim , CA",-117.9145036,33.8352932
"320","Anaheim","CA","2003",1319,"Anaheim , CA",-117.9145036,33.8352932
"321","Anaheim","CA","2000",1413,"Anaheim , CA",-117.9145036,33.8352932
"322","Anaheim","CA","2001",1316,"Anaheim , CA",-117.9145036,33.8352932
"323","Anaheim","CA","2002",1389,"Anaheim , CA",-117.9145036,33.8352932
"324","Anaheim","CA","2007",1423,"Anaheim , CA",-117.9145036,33.8352932
"325","Anaheim","CA","2008",1312,"Anaheim , CA",-117.9145036,33.8352932
"326","Anchorage","AK","1991",1669,"Anchorage , AK",-149.9002778,61.2180556
"327","Anchorage","AK","1992",1971,"Anchorage , AK",-149.9002778,61.2180556
"328","Anchorage","AK","1985",1184,"Anchorage , AK",-149.9002778,61.2180556
"329","Anchorage","AK","1990",1330,"Anchorage , AK",-149.9002778,61.2180556
"330","Anchorage","AK","1994",2478,"Anchorage , AK",-149.9002778,61.2180556
"331","Anchorage","AK","1995",2510,"Anchorage , AK",-149.9002778,61.2180556
"332","Anchorage","AK","1996",2078,"Anchorage , AK",-149.9002778,61.2180556
"333","Anchorage","AK","1997",1889,"Anchorage , AK",-149.9002778,61.2180556
"334","Anchorage","AK","1998",1632,"Anchorage , AK",-149.9002778,61.2180556
"335","Anchorage","AK","1986",1198,"Anchorage , AK",-149.9002778,61.2180556
"336","Anchorage","AK","1987",1025,"Anchorage , AK",-149.9002778,61.2180556
"337","Anchorage","AK","1988",1122,"Anchorage , AK",-149.9002778,61.2180556
"338","Anchorage","AK","1989",1131,"Anchorage , AK",-149.9002778,61.2180556
"339","Anchorage","AK","2003",1744,"Anchorage , AK",-149.9002778,61.2180556
"340","Anchorage","AK","2004",2164,"Anchorage , AK",-149.9002778,61.2180556
"341","Anchorage","AK","2005",2031,"Anchorage , AK",-149.9002778,61.2180556
"342","Anchorage","AK","1993",2213,"Anchorage , AK",-149.9002778,61.2180556
"343","Anchorage","AK","2007",2405,"Anchorage , AK",-149.9002778,61.2180556
"344","Anchorage","AK","2008",2647,"Anchorage , AK",-149.9002778,61.2180556
"345","Anchorage","AK","2009",2488,"Anchorage , AK",-149.9002778,61.2180556
"346","Anchorage","AK","2010",2432,"Anchorage , AK",-149.9002778,61.2180556
